कायप्रकनि,सस्था सख्या, सचालक महिला,सचालक परुष,सचालक जम्मा,सदस्य महिला,सदस्य परुष,सदस्य जम्मा,कमचारी महिला,कमचारी परुष,कमचारी जम्मा,शयर पजी (रू. हजारमा),निक्षप (रू. हजारमा),ऋण (रू. हजारमा),अन्य (रू. हजारमा),जम्मा (रू. हजारमा)
बचत तथा ऋण,13578,39205,58548,97753,1776089,1669465,3445554,17450,17997,35447,54384769,217492843,179879716,118628,179998344
बहउद्दश्यीय,4371,12326,19279,31605,618236,655541,1273777,6070,6015,12085,10753850,63265504,62385026,78270,6246329
कषि,10921,32575,43629,76204,614716,477549,1092265,3234,3449,6683,5085810,16547078,2497179,173311,25145103
दग्ध,1658,3702,9151,12853,31748,74145,105893,381,1272,1653,330980,850669,812097,9953,822050
उपभोक्ता,1423,2944,6587,9531,29150,41575,70725,274,397,671,323572,773362,93016,27208,958124
षिद्यत,463,808,2972,3780,17870,63500,81370,79,339,418,1977564,900101,147464,83131,015639
तरकारी तथा फलफल,193,561,986,1547,10723,9544,20267,52,81,133,43412,9822,72466,217,72683
चचया,108,170,686,856,2832,9131,11963,20,24,44,011859,34879,5122,224,52146
कफफ,155,408,758,1166,2917,4676,7593,48,74,122,12447,22058,31381,163,31544
जडिबटी,186,418,1069,1487,4887,6418,11305,36,51,87,63741,40033,60131,13613,73744
मौरीपालन,93,272,477,749,2187,2154,4341,24,29,53,9294,9241,19332,86,19418
सचार,143,325,840,1165,5362,11691,17053,286,270,556,22443,85281,111166,115,111281
स्िास्थ्य,128,323,746,1069,6322,8131,14453,333,547,880,579015,337987,507380,429,507809
उख,48,54,308,362,1229,1725,2954,0,1,1,6335,17273,24686,0,24686
जनार,45,222,147,369,890,1233,2123,4,7,11,2288,9424,8328,0,8328
अन्य,999,3199,4132,7331,88356,55589,143945,751,922,1673,974601,2497158,366636,12776,3709412
